Dick Winslow,7,"Americathon, The Shootist, The Comic, The Love Machine, Funny Girl, Doctors' Wives, The Wrecking Crew"
George Gaynes,6,"Altered States, Tootsie, Nickelodeon, Doctors' Wives, Harry and Walter Go to New York, Marooned"
Gene Hackman,5,"Cisco Pike, Doctors' Wives, Bite the Bullet, Marooned, Scarecrow"
Duke Hobbie,5,"In Cold Blood, Doctors' Wives, Model Shop, The Love Machine, Marooned"
Paul Mazursky,5,"An Unmarried Woman, Blume in Love, Bob & Carol & Ted & Alice, History of the World: Part I, Next Stop, Greenwich Village"
Charles Durning,5,"Tilt, I Walk the Line, Tootsie, Harry and Walter Go to New York, The Pursuit of Happiness"
Elliott Gould,4,"Getting Straight, Bob & Carol & Ted & Alice, Capricorn One, Harry and Walter Go to New York"
Jeffrey Sayre,4,"Funny Girl, Hook, Line and Sinker, The Comic, The Wrecking Crew"
George DeNormand,4,"Funny Girl, Hook, Line and Sinker, Bob & Carol & Ted & Alice, Doctors' Wives"
Tom Stewart,4,"Doctors' Wives, Marooned, The Love Machine, Stand Up and Be Counted"
Scott Brady,4,"Marooned, Doctors' Wives, The China Syndrome, $"
Vincent Van Lynn,4,"Doctors' Wives, Marooned, Report to the Commissioner, The Wrecking Crew"
Frank Mathias,4,"Funny Girl, Doctors' Wives, The Love Machine, The Comic"
Linda Burton,4,"Bob & Carol & Ted & Alice, The Comic, Stand Up and Be Counted, Cactus Flower"
Dyan Cannon,4,"Shamus, Bob & Carol & Ted & Alice, Doctors' Wives, The Love Machine"
Kenner G. Kemp,4,"Fools' Parade, Marooned, The Wrecking Crew, The Comic"
John Furlong,4,"The Swarm, The Gumball Rally, All the President's Men, Blazing Saddles"
Isabel Sanford,4,"The Comic, Stand Up and Be Counted, Pendulum, The New Centurions"
Johnny Silver,3,"Funny Girl, The Comic, History of the World: Part I"
Arthur Tovey,3,"Funny Girl, Bob & Carol & Ted & Alice, Capricorn One"
Ned Beatty,3,"The Thief Who Came to Dinner, All the President's Men, Exorcist II: The Heretic"
Stella Stevens,3,"Nickelodeon, The Mad Room, Stand Up and Be Counted"
John Hillerman,3,"The Thief Who Came to Dinner, Blazing Saddles, History of the World: Part I"
Adriana Shaw,3,"Altered States, The New Centurions, Blume in Love"
Sally Kirkland,3,"Bite the Bullet, Blazing Saddles, Blume in Love"
Philip Bruns,3,"Nickelodeon, Flash and the Firecat, The Stunt Man"
Brick Huston,3,"Doctors' Wives, The Wrecking Crew, The Comic"
Vincent Schiavelli,3,"An Unmarried Woman, The Frisco Kid, Next Stop, Greenwich Village"
Shelley Winters,3,"The Mad Room, Blume in Love, Next Stop, Greenwich Village"
Goldie Hawn,3,"Butterflies Are Free, $, Cactus Flower"
James Karen,3,"The China Syndrome, Capricorn One, All the President's Men"
Jacqueline Bisset,3,"The Thief Who Came to Dinner, Stand Up and Be Counted, St. Ives"
Nicolas Coster,3,"The Electric Horseman, 1776, All the President's Men"
Kathleen Freeman,3,"Hook, Line and Sinker, Stand Up and Be Counted, The Best of Times"
Dabney Coleman,3,"Bite the Bullet, Tootsie, Viva Knievel!"
Karl Lukas,3,"The Frisco Kid, Blazing Saddles, Blume in Love"
Whitey Hughes,3,"The Gumball Rally, The Stunt Man, Freebie and the Bean"
Alex Rodine,3,"Funny Girl, Firefox, Harry and Walter Go to New York"
Rutanya Alda,3,"Blume in Love, Scarecrow, Next Stop, Greenwich Village"
Harvey Korman,3,"Americathon, Blazing Saddles, History of the World: Part I"
Dana Elcar,3,"Report to the Commissioner, St. Ives, Pendulum"
David Huddleston,3,"Fools' Parade, Capricorn One, Blazing Saddles"
Robert Redford,3,"The Electric Horseman, Three Days of the Condor, All the President's Men"
Brion James,3,"Nickelodeon, Harry and Walter Go to New York, Hard Times"
Nicholas Shields,3,"Time After Time, Thank God It's Friday, The Best of Times"
Lynn Borden,3,"Bob & Carol & Ted & Alice, The Wrecking Crew, St. Ives"
Greg Mullavey,3,"Bob & Carol & Ted & Alice, The Love Machine, Stand Up and Be Counted"
Bob Balaban,3,"Altered States, Absence of Malice, Report to the Commissioner"
Donald F. Muhich,3,"Bob & Carol & Ted & Alice, Willie & Phil, Blume in Love"
Allan Arbus,3,"Cisco Pike, Americathon, The Electric Horseman"
Read Morgan,3,"The New Centurions, Harry and Walter Go to New York, Time After Time"
Paul Bradley,3,"Funny Girl, Hook, Line and Sinker, Doctors' Wives"
George Kennedy,3,"Fools' Parade, Modern Romance, Lost Horizon"
Severn Darden,3,"The Mad Room, Cisco Pike, Model Shop"
Antonio Fargas,3,"Cisco Pike, Up the Academy, Next Stop, Greenwich Village"
James Sikking,3,"The Electric Horseman, Capricorn One, The New Centurions"
Wilford Brimley,3,"The Electric Horseman, The China Syndrome, Absence of Malice"
Penny Peyser,3,"The Frisco Kid, The In-Laws, All the President's Men"
Sandy Balson,3,"Doctors' Wives, The Love Machine, Stand Up and Be Counted"
Charles Bronson,3,"From Noon Till Three, St. Ives, Hard Times"
Hy Chase,3,"The Love Machine, The Wrecking Crew, Cactus Flower"
Shelley Morrison,3,"Funny Girl, Stand Up and Be Counted, Blume in Love"
Mike Kellin,3,"Fools' Parade, Freebie and the Bean, Next Stop, Greenwich Village"
Bob Golden,3,"Doctors' Wives, Report to the Commissioner, Stand Up and Be Counted"
Celeste Michaels,3,"Bob & Carol & Ted & Alice, The Comic, The Wrecking Crew"
Jeff Goldblum,3,"Thank God It's Friday, St. Ives, Next Stop, Greenwich Village"
Paul Lambert,2,"All the President's Men, Wrong Is Right"
Myron Natwick,2,"Three Days of the Condor, Wrong Is Right"
Fredricka Meyers,2,"Bob & Carol & Ted & Alice, The Wrecking Crew"
John Carter,2,"Marooned, The Love Machine"
Stanley Brock,2,"Nickelodeon, St. Ives"
Ingrid Bergman,2,"A Walk in the Spring Rain, Cactus Flower"
Ira Miller,2,"Blazing Saddles, History of the World: Part I"
Lois Smith,2,"Brother John, Next Stop, Greenwich Village"
James Caan,2,"Freebie and the Bean, Harry and Walter Go to New York"
Leif Garrett,2,"Sgt. Pepper's Lonely Hearts Club Band, Bob & Carol & Ted & Alice"
Lillian Adams,2,"Funny Girl, The Comic"
Claudia Jennings,2,"The Love Machine, 40 Carats"
Allen Garfield,2,"The Owl and the Pussycat, The Stunt Man"
Eddy Donno,2,"The Gumball Rally, Freebie and the Bean"
Ben Frommer,2,"The Comic, Blazing Saddles"
Dennis Kort,2,"Modern Romance, Blume in Love"
Hector Elizondo,2,"Report to the Commissioner, Stand Up and Be Counted"
Jess Osuna,2,"Three Days of the Condor, All the President's Men"
Lou Kane,2,"The Mad Room, The Comic"
Kent Williams,2,"The In-Laws, Time After Time"
James Stewart,2,"Fools' Parade, The Shootist"
Richard Crenna,2,"Doctors' Wives, Marooned"
Charles Bail,2,"Freebie and the Bean, The Stunt Man"
Kurt Russell,2,"Fools' Parade, The Best of Times"
Craig Huebing,2,"Marooned, The Comic"
Robert F. Lyons,2,"Getting Straight, Pendulum"
Barbra Streisand,2,"Funny Girl, The Owl and the Pussycat"
Sydney Pollack,2,"The Electric Horseman, Tootsie"
Billie Bird,2,"Getting Straight, Stand Up and Be Counted"
Michael McGuire,2,"Report to the Commissioner, Hard Times"
Brenda Vaccaro,2,"Capricorn One, Summertree"
Charles McGraw,2,"In Cold Blood, Pendulum"
Bob Stiles,2,"The Love Machine, Cactus Flower"
John S. Ragin,2,"Bob & Carol & Ted & Alice, Doctors' Wives"
Michael Sarrazin,2,"The Gumball Rally, The Pursuit of Happiness"
Albert Henderson,2,"Modern Romance, The Pursuit of Happiness"
Val Bisoglio,2,"The Frisco Kid, St. Ives"
Helen Hanft,2,"Willie & Phil, Next Stop, Greenwich Village"
Lauren Simon,2,"The Gumball Rally, Three Days of the Condor"
Mauritz Hugo,2,"Marooned, The Love Machine"
M. Emmet Walsh,2,"Nickelodeon, The Best of Times"
John Houseman,2,"Three Days of the Condor, St. Ives"
Bobbie Bates,2,"Funny Girl, Mame"
Bea Arthur,2,"Mame, History of the World: Part I"
Irene Tedrow,2,"Getting Straight, The Comic"
Paul Frees,2,"In Cold Blood, The Comic"
Jill Clayburgh,2,"The Thief Who Came to Dinner, An Unmarried Woman"
Harry Dean Stanton,2,"Cisco Pike, Renaldo and Clara"
Charles Cioffi,2,"The Thief Who Came to Dinner, Time After Time"
Bruce Mackey,2,"Tilt, Freebie and the Bean"
Barbara Hershey,2,"The Stunt Man, The Pursuit of Happiness"
Hilary Thompson,2,"Getting Straight, Model Shop"
Paul Newman,2,"The Drowning Pool, Absence of Malice"
Dustin Hoffman,2,"Tootsie, All the President's Men"
Jane Alexander,2,"All the President's Men, The New Centurions"
James De Closs,2,"Freebie and the Bean, Harry and Walter Go to New York"
John McLiam,2,"In Cold Blood, Bite the Bullet"
John Garwood,2,"Freebie and the Bean, The Stunt Man"
Rick Lenz,2,"The Shootist, Cactus Flower"
Mark Russell,2,"The Comic, Stand Up and Be Counted"
Jack Perkins,2,"Nickelodeon, Blazing Saddles"
Peter Paul Eastman,2,"The China Syndrome, The Comic"
Frank Biro,2,"The Comic, The Wrecking Crew"
Jeff Donnell,2,"The Comic, Stand Up and Be Counted"
Sheila English,2,"Funny Girl, The Wrecking Crew"
Anne Francis,2,"Funny Girl, Hook, Line and Sinker"
Anne Ramsey,2,"From Noon Till Three, The New Centurions"
Alex Wilson,2,"Shamus, Stand Up and Be Counted"
David Doyle,2,"Capricorn One, The Pursuit of Happiness"
Sol Frieder,2,"Willie & Phil, Next Stop, Greenwich Village"
Peter Miller,2,"Fools' Parade, The In-Laws"
Fritz Feld,2,"The Comic, History of the World: Part I"
Rex Benson,2,"The Mad Room, The Comic"
Slim Pickens,2,"The Swarm, Blazing Saddles"
Lavelle Roby,2,"Sweet Sweetback's Baadasssss Song, Stand Up and Be Counted"
Mark Harris,2,"Hook, Line and Sinker, Absence of Malice"
Jack Manning,2,"The Thief Who Came to Dinner, The Owl and the Pussycat"
Al Pacino,2,"Bobby Deerfield, Scarecrow"
Leoda Richards,2,"Funny Girl, Mame"
John Saxon,2,"The Electric Horseman, Wrong Is Right"
James Lloyd,2,"The Love Machine, The Wrecking Crew"
William Devane,2,"Report to the Commissioner, The Pursuit of Happiness"
Hank Robinson,2,"The Frisco Kid, Blazing Saddles"
Paul Stewart,2,"In Cold Blood, Bite the Bullet"
Gordon De Vol,2,"1776, A Reflection of Fear"
Jim Taylor,2,"Mame, Blazing Saddles"
Chela Bacigalupo,2,"Funny Girl, Blume in Love"
Larry Martindale,2,"St. Ives, Hard Times"
Patrick Campbell,2,"The Comic, Blazing Saddles"
Jim Galante,2,"The Swarm, Tilt"
Bea Thompkins,2,"The New Centurions, Stand Up and Be Counted"
Sig Frohlich,2,"The Comic, Harry and Walter Go to New York"
Bernie Pollack,2,"Bobby Deerfield, Tootsie"
Ramon Bieri,2,"The Frisco Kid, Brother John"
Barry Cahill,2,"Doctors' Wives, Wrong Is Right"
Carol Cole,2,"The Mad Room, Model Shop"
Kris Kristofferson,2,"Cisco Pike, Blume in Love"
Dori Brenner,2,"Altered States, Next Stop, Greenwich Village"
Donald Bishop,2,"The China Syndrome, Wrong Is Right"
Phil Adams,2,"Thank God It's Friday, Blume in Love"
Frank Marth,2,"Marooned, Pendulum"
Al Ward,2,"Bob & Carol & Ted & Alice, Blazing Saddles"
Scott Wilson,2,"In Cold Blood, The New Centurions"
Michael Bernal,2,"Lost Horizon, Boulevard Nights"
Natalie Wood,2,"Bob & Carol & Ted & Alice, Willie & Phil"
Kenneth White,2,"Capricorn One, Up the Academy"
Walter Scott,2,"Bite the Bullet, Hard Times"
Fred Lerner,2,"Americathon, Hard Times"
Rosalind Cash,2,"Wrong Is Right, The New Centurions"
Christopher George,2,"The Shootist, Mortuary"
James Garrett,2,"The Stunt Man, Time After Time"
John Wheeler,2,"Sgt. Pepper's Lonely Hearts Club Band, Mame"
Byron Morrow,2,"From Noon Till Three, The Wrecking Crew"
George Skaff,2,"Wrong Is Right, Exorcist II: The Heretic"
Fred Willard,2,"Americathon, Model Shop"
Gerry Okuneff,2,"In Cold Blood, Funny Girl"
E.A. Nicholson,2,"Funny Girl, Brother John"
Garry Goodrow,2,"Bob & Carol & Ted & Alice, Summertree"
Jack Somack,2,"The Frisco Kid, The Pursuit of Happiness"
Lorry Goldman,2,"Stand Up and Be Counted, Exorcist II: The Heretic"
Tony Gardner,2,"Hook, Line and Sinker, The Wrecking Crew"
Joe Madden,2,"The Owl and the Pussycat, Next Stop, Greenwich Village"
Sharon Farrell,2,"The Stunt Man, The Love Machine"
Ralph Manza,2,"The Love Machine, Blazing Saddles"
Larry Gelman,2,"Funny Girl, The Frisco Kid"
George Grizzard,2,"Happy Birthday, Wanda June, Wrong Is Right"
Lee Delano,2,"Report to the Commissioner, History of the World: Part I"
Michael Jeffers,2,"Funny Girl, The China Syndrome"
Teri Garr,2,"Tootsie, Summertree"
Edward Albert,2,"40 Carats, Butterflies Are Free"
William Smith,2,"The Frisco Kid, Summertree"
E. Hampton Beagle,2,"Nickelodeon, The China Syndrome"
Robert Klein,2,"The Owl and the Pussycat, The Pursuit of Happiness"
John Otrin,2,"Nickelodeon, The Swarm"
Mel Brooks,2,"Blazing Saddles, History of the World: Part I"
Nicky Blair,2,"The Love Machine, Harry and Walter Go to New York"
Mittie Lawrence,2,"Funny Girl, The New Centurions"
Morgan Paull,2,"The Swarm, Fools' Parade"
Scatman Crothers,2,"Hook, Line and Sinker, The Shootist"
Barbara Bosson,2,"Capricorn One, Mame"
Maureen Arthur,2,"The Love Machine, Harry and Walter Go to New York"
Louis Guss,2,"Nickelodeon, Willie & Phil"
Nancy Walker,2,"40 Carats, Stand Up and Be Counted"
Doria Cook-Nelson,2,"The Swarm, Mame"
Jean Willes,2,"Bite the Bullet, The Comic"
Donna Garrett,2,"Stand Up and Be Counted, Mortuary"
George Sawaya,2,"Blazing Saddles, St. Ives"
Cameron Mitchell,2,"The Swarm, Viva Knievel!"
Alex Rocco,2,"Freebie and the Bean, The Stunt Man"
Andre Philippe,2,"Bob & Carol & Ted & Alice, Blume in Love"
Shecky Greene,2,"The Love Machine, History of the World: Part I"
Gregory Peck,2,"I Walk the Line, Marooned"
Richard Herd,2,"The China Syndrome, All the President's Men"
Carl D. Parker,2,"Nickelodeon, Fat City"
Bill Couch,2,"Marooned, The Wrecking Crew"
Allen Pinson,2,"The Mad Room, The Wrecking Crew"
Max von Sydow,2,"Three Days of the Condor, Exorcist II: The Heretic"
Walter McGinn,2,"Bobby Deerfield, Three Days of the Condor"
Michael Murphy,2,"The Thief Who Came to Dinner, An Unmarried Woman"
Gray Johnson,2,"The Gumball Rally, Freebie and the Bean"
Barbara Burgess,2,"Funny Girl, Hook, Line and Sinker"
George Winters,2,"Stand Up and Be Counted, Cactus Flower"
Joe Tornatore,2,"The Gumball Rally, Sweet Sweetback's Baadasssss Song"
Ed Setrakian,2,"Three Days of the Condor, The Pursuit of Happiness"
Liv Ullmann,2,"Lost Horizon, 40 Carats"
Alan Arkin,2,"Freebie and the Bean, The In-Laws"
Jack Warden,2,"All the President's Men, Summertree"
Richard Monahan,2,"Funny Girl, Blazing Saddles"
Karen Black,2,"Cisco Pike, Capricorn One"
Candice Bergen,2,"Bite the Bullet, Getting Straight"
Leonard Stone,2,"Getting Straight, Mame"
Bill Murray,2,"Tootsie, Next Stop, Greenwich Village"
Walter Brooke,2,"Marooned, St. Ives"
Mary Jane Mangler,2,"Funny Girl, Cactus Flower"
Charles Thomas Murphy,2,"Nickelodeon, History of the World: Part I"
Vaughn Taylor,2,"In Cold Blood, The Gumball Rally"
Art Evans,2,"The In-Laws, Wrong Is Right"
James Kline,2,"The Electric Horseman, The China Syndrome"
George Segal,2,"The Owl and the Pussycat, Blume in Love"
Meredith Baxter,2,"All the President's Men, Stand Up and Be Counted"
John Carradine,2,"Americathon, The Shootist"
Natalie Schafer,2,"Bernardine, 40 Carats"
Morgan Farley,2,"Nickelodeon, Sgt. Pepper's Lonely Hearts Club Band"
Karen Lamm,2,"Tilt, Scarecrow"
Robert Stiles,2,"Doctors' Wives, $"
Hal Holbrook,2,"Capricorn One, All the President's Men"
Michael York,2,"Lost Horizon, Cabaret"
Joe Sawyers,2,"The Comic, The Wrecking Crew"
Lee Grant,2,"The Swarm, Marooned"
