Arthur Piantadosi,88,"sound, rerecording mixer (as Art Piantadosi), dubbing, sound (as Art Piantadosi), sound (as Arthur R. Piantadosi), sound (as A. Piantadosi), re-recording mixer (as Art Piantadosi), re recording mixer, re-recording mixer, re-recordist, sound re-recording, sound re-recordist (as Arthur R. Piantadosi), dubbing mixer (as Arturo Piantadosi), re-scoring mixer (uncredited), dubbing (as Art Piantadosi), dubbing mixer, re-recording, sound re-recordist, sound re-recording mixer","An Unmarried Woman, Mortuary, The Shootist, The Electric Horseman, Scarecrow, 1776, $, Cactus Flower, I Walk the Line, The Best of Times, Absence of Malice, Nickelodeon, Model Shop, The Swarm, Shamus, Brother John, The China Syndrome, Pendulum, A Reflection of Fear, Tootsie, The Gumball Rally, The Yakuza, Thank God It's Friday, Viva Knievel!, Exorcist II: The Heretic, Flash and the Firecat, The Frisco Kid, The Wrecking Crew, From Noon Till Three, Mame, Bernardine, Lost Horizon, The In-Laws, The Mad Room, Up the Academy, Marooned, Hook, Line and Sinker, A Walk in the Spring Rain, Harry and Walter Go to New York, Spacehunter: Adventures in the Forbidden Zone, Firefox, Cisco Pike, Tilt, 40 Carats, Sweet Sweetback's Baadasssss Song, Next Stop, Greenwich Village, The Owl and the Pussycat, The Drowning Pool, St. Ives, Happy Birthday, Wanda June, All the President's Men, Time After Time, Doctors' Wives, Wrong Is Right, Three Days of the Condor, Bite the Bullet, Sgt. Pepper's Lonely Hearts Club Band, Summertree, Fools' Parade, Report to the Commissioner, In Cold Blood, Altered States, Renaldo and Clara, Bobby Deerfield, The Love Machine, Funny Girl, Willie & Phil, History of the World: Part I, Stand Up and Be Counted, The Thief Who Came to Dinner, Blume in Love, Bob & Carol & Ted & Alice, The Pursuit of Happiness, Blazing Saddles, Freebie and the Bean, Fat City, The Stunt Man, Butterflies Are Free, Americathon, Hugo the Hippo, Modern Romance, The Comic, Hard Times, Getting Straight, The New Centurions, Cabaret, Capricorn One, Boulevard Nights"
Les Fresholtz,46,"sound re-recording mixer (as Lester Fresholtz), sound, re-recording mixer (as Lester Fresholtz), production sound mixer / re-recording mixer, re-recording mixer, sound re-recordist (as Les Frescholtz), sound re-recording, re-scoring mixer (uncredited), sound re-recordist, sound re-recording mixer","An Unmarried Woman, Exorcist II: The Heretic, Mortuary, Tilt, The Shootist, Flash and the Firecat, The Frisco Kid, Willie & Phil, The Electric Horseman, From Noon Till Three, History of the World: Part I, The Drowning Pool, Blazing Saddles, The In-Laws, All the President's Men, Time After Time, Doctors' Wives, Wrong Is Right, Up the Academy, Bobby Deerfield, Marooned, Sgt. Pepper's Lonely Hearts Club Band, Bite the Bullet, A Walk in the Spring Rain, The Love Machine, Absence of Malice, Nickelodeon, Model Shop, The Stunt Man, The Swarm, Spacehunter: Adventures in the Forbidden Zone, Report to the Commissioner, Americathon, Altered States, The China Syndrome, Firefox, Modern Romance, The Comic, Tootsie, Getting Straight, The Gumball Rally, Renaldo and Clara, Thank God It's Friday, Hugo the Hippo, Capricorn One, Boulevard Nights"
Dan Wallin,30,"sound, music scoring mixer (as Danny Wallin), score engineer (uncredited), music scoring mixer (uncredited), music scoring mixer, music mixer: re-mixed original multi-tracks, music scoring mixer (as Dan Walin), music engineer (uncredited) / music mixer (uncredited), score mixer, scoring mixer (uncredited), sound re-recording mixer, score mixer (uncredited)","An Unmarried Woman, Exorcist II: The Heretic, Tilt, The Shootist, 40 Carats, The Frisco Kid, The Electric Horseman, Lost Horizon, Scarecrow, History of the World: Part I, The Drowning Pool, The In-Laws, All the President's Men, Time After Time, Bobby Deerfield, The Thief Who Came to Dinner, Renaldo and Clara, Freebie and the Bean, Blume in Love, Blazing Saddles, Absence of Malice, The Stunt Man, Harry and Walter Go to New York, The Swarm, Altered States, The China Syndrome, The Gumball Rally, The Yakuza, Viva Knievel!, Boulevard Nights"
Michael Minkler,23,"sound re-recordist, re-recording mixer, sound re-recording mixer, sound re-recordist (as Mike Minkler)","An Unmarried Woman, St. Ives, Bobby Deerfield, The Shootist, Willie & Phil, The Electric Horseman, Exorcist II: The Heretic, The In-Laws, Time After Time, Up the Academy, Sgt. Pepper's Lonely Hearts Club Band, Nickelodeon, The Stunt Man, Harry and Walter Go to New York, The Swarm, Americathon, Altered States, The China Syndrome, The Gumball Rally, Renaldo and Clara, Thank God It's Friday, Capricorn One, Boulevard Nights"
Paul Mazursky,5,"producer, (writer), (written by), (written by) and, NULL, (novel) (uncredited)","An Unmarried Woman, Blume in Love, Bob & Carol & Ted & Alice, Willie & Phil, Next Stop, Greenwich Village"
Ben Lane,12,makeup supervisor,"Bob & Carol & Ted & Alice, Hook, Line and Sinker, I Walk the Line, A Walk in the Spring Rain, Pendulum, Happy Birthday, Wanda June, The Comic, Funny Girl, The Mad Room, Getting Straight, Model Shop, The Wrecking Crew"
M.J. Frankovich,12,"executive producer, producer","Bob & Carol & Ted & Alice, From Noon Till Three, $, The Love Machine, The Shootist, 40 Carats, Stand Up and Be Counted, Doctors' Wives, Butterflies Are Free, Marooned, Report to the Commissioner, Cactus Flower"
Virginia Jones,12,"hair stylist, hairdresser","Hook, Line and Sinker, Bob & Carol & Ted & Alice, A Walk in the Spring Rain, Pendulum, Fat City, The Comic, The Love Machine, Stand Up and Be Counted, The Mad Room, Getting Straight, Doctors' Wives, The Wrecking Crew"
Chuck Gaspar,11,"special effects (as Charles Gaspar), special effects, special effects coordinator (uncredited), special effects foreman, special effects (uncredited)","The Drowning Pool, In Cold Blood, Bite the Bullet, Firefox, Exorcist II: The Heretic, Altered States, A Reflection of Fear, Harry and Walter Go to New York, Fools' Parade, Marooned, Wrong Is Right"
Sydney Pollack,6,"NULL, producer (uncredited), producer","Bobby Deerfield, Absence of Malice, Tootsie, The Yakuza, The Electric Horseman, Three Days of the Condor"
