"57760","Bill Conti","(music by)"
"57761","Paul Mazursky","(written by)"
"57762","Stuart H. Pappe","(edited by)"
"57763","Les Fresholtz","re-recording mixer"
"57764","Dennis Maitland","recording mixer"
"57765","Michael Minkler","re-recording mixer"
"57766","Arthur Piantadosi","re-recording mixer"
"57767","Sharron Miller","sound editor (uncredited)"
"57768","Sam F. Shaw","sound effects (uncredited)"
"57769","Patrick McMahon","assistant editor"
"57770","Jose Antonio Torres","assistant editor (as Jose A. Torres)"
"57771","Terence A. Donnelly","assistant director (as Terry Donnelly)"
"57772","Thomas John Kane","second assistant director (as Tom Kane)"
"57773","Beverly Cycon","wardrobe: women's"
"57774","Max Soloman","wardrobe: men's (as Max Solomon)"
"57775","Paul Mazursky","producer"
"57776","Anthony Ray","producer (as Tony Ray)"
"57777","Robert Bechtle","contributing painter and sculptor"
"57778","Frank Bramblett","contributing painter and sculptor"
"57779","John Chamberlain","contributing painter and sculptor"
"57780","Kay Chapin","script supervisor"
"57781","John Clem Clarke","contributing painter and sculptor"
"57782","Colette","contributing painter and sculptor"
"57783","Robert Cottingham","contributing painter and sculptor"
"57784","John DeAndrea","contributing painter and sculptor (as John Deandrea)"
"57785","Porfirio DiDonna","contributing painter and sculptor (as Porfirio Didonna)"
"57786","Tom Folino","assistant to producers"
"57787","Marilynn Gelfman Pereira","contributing painter and sculptor"
"57788","Ralph Goings","contributing painter and sculptor"
"57789","H.N. Han","contributing painter and sculptor"
"57790","Yan Hsia","contributing painter and sculptor"
"57791","Paul Jenkins","contributing painter and sculptor"
"57792","John Kacere","contributing painter and sculptor"
"57793","Lila Katzen","contributing painter and sculptor"
"57794","Tony King","contributing painter and sculptor"
"57795","P.J. Kresnar","contributing painter and sculptor"
"57796","Ralph M. Leo","production auditor (as Ralph Leo)"
"57797","Marsha Liberty","contributing painter and sculptor"
"57798","Toshio Odate","contributing painter and sculptor"
"57799","Peter Saari","contributing painter and sculptor"
"57800","John Salt","contributing painter and sculptor"
"57801","Andy Warhol","contributing painter and sculptor"
"57802","Paul Mazursky",NULL
"57803","Louis Cappeta","key grip (as Louis Cappeto)"
"57804","Willie Meyerhoff","gaffer"
"57805","Joseph Di Pasquale","first assistant camera (uncredited)"
"57806","Sal Martorano","electrician (uncredited)"
"57807","Robert H. Raff","music editor"
"57808","Dan Wallin","music scoring mixer (uncredited)"
"57809","Edward Stewart",NULL
"57810","Albert Wolsky","(costumes by)"
"57811","Terence A. Donnelly","unit production manager (as Terry Donnelly)"
"57812","Pato Guzman",NULL
"57813","Paul Jenkins","with special thanks to"
"57814","Arthur J. Ornitz","director of photography (as Arthur Ornitz)"
"57815","William A. Farley","hairdresser (as Bill Farley)"
"57816","Mike Maggi","makeup"
"57817","Sylvia Fay","extras casting"
"57818","Bonnie Becker","composer: songs"
"57819","John Cacavas","composer: songs / conductor"
"57820","Terese Heston","composer: songs / performer: songs"
"57821","James D. Young","music editor"
"57822","Stanford C. Allen",NULL
"57823","Linda Arocha","extras casting"
"57824","Howard Avedis","(written by) &"
"57825","Marlene Schmidt","(written by)"
"57826","Marydith Chase","wardrobe coordinator"
"57827","Violet Manes","wardrobe assistant"
"57828","Diane Owen","wardrobe assistant"
"57829","Donna Adrain","assistant to producer"
"57830","Evan Cole","production assistant"
"57831","Mark DeFrain","production assistant"
"57832","Ross Dickson","production assistant"
"57833","Hughy Hughes","location auditor"
"57834","Greg Kaye","production assistant"
"57835","Edward L. Montoro","presenter"
"57836","Rick O'Brian","production assistant"
"57837","Chester J. Pompei","technical advisor"
